Datum,Klick,Exponeringar,CTR,position
2026-07-01,0,44,0%,11.1
2026-07-02,1,48,2.08%,14.6
2026-07-03,0,43,0%,14.2
2026-07-04,1,56,1.79%,15.1
2026-07-05,0,61,0%,12.3
2026-07-06,2,57,3.51%,14.9
2026-07-07,0,58,0%,11.8
2026-07-08,1,53,1.89%,13.3
2026-07-09,0,59,0%,8
2026-07-10,2,38,5.26%,9.9
2026-07-11,1,68,1.47%,17.1
2026-07-12,5,142,3.52%,14.8
2026-07-13,5,71,7.04%,11.1
2026-07-14,5,97,5.15%,9.4
2026-07-15,2,99,2.02%,11.6
2026-07-16,2,101,1.98%,7.9
2026-07-17,0,102,0%,10
2026-07-18,3,132,2.27%,8.7
2026-07-19,3,139,2.16%,8.9
2026-07-20,4,138,2.9%,9.2
2026-07-21,1,129,0.78%,8.8
2026-07-22,1,118,0.85%,10.3
2026-07-23,5,129,3.88%,9.3
2026-07-24,4,145,2.76%,9.5
2026-07-25,3,118,2.54%,9.7
2026-07-26,3,131,2.29%,9
2026-07-27,5,152,3.29%,10.8
2026-07-28,3,122,2.46%,11.6
2026-07-29,5,136,3.68%,9.6
2026-07-30,1,103,0.97%,9.1
2026-07-31,2,104,1.92%,10.5
