Land,Klick,Exponeringar,CTR,position
Sverige,48,1827,2.63%,10.19
Norge,6,227,2.64%,9.09
Tyskland,4,119,3.36%,11.77
Nederländerna,3,143,2.1%,7.51
Finland,3,32,9.38%,9.31
Danmark,2,96,2.08%,6.56
USA,1,134,0.75%,12.99
Brasilien,1,16,6.25%,13.81
Kanada,1,11,9.09%,13.91
Lettland,1,2,50%,7.5
Förenade kungariket,0,69,0%,11.19
Schweiz,0,25,0%,9.28
Spanien,0,21,0%,15.86
Polen,0,19,0%,9.42
Italien,0,19,0%,10.63
Frankrike,0,17,0%,9.06
Vietnam,0,15,0%,19.67
Ryssland,0,12,0%,20.33
Filippinerna,0,11,0%,48.36
Belgien,0,9,0%,7.67
Österrike,0,9,0%,18
Indonesien,0,9,0%,25
Australien,0,8,0%,7.12
Kroatien,0,8,0%,7.25
Turkiet,0,8,0%,7.75
Grekland,0,7,0%,10.86
Indien,0,6,0%,17.33
Mexiko,0,6,0%,28.83
Portugal,0,5,0%,7
Saudiarabien,0,5,0%,13.8
Ukraina,0,5,0%,14.2
Tjeckien,0,5,0%,18.8
Kosovo,0,4,0%,5.75
Iran,0,4,0%,9.5
Marocko,0,4,0%,15.75
Irak,0,4,0%,16
Thailand,0,4,0%,19.5
Colombia,0,4,0%,29.25
Kambodja,0,3,0%,6
Ungern,0,3,0%,7.33
Singapore,0,3,0%,8
Estland,0,3,0%,8.67
Förenade arabemiraten,0,3,0%,10.67
Algeriet,0,3,0%,16.67
Serbien,0,2,0%,5
Japan,0,2,0%,6
Slovenien,0,2,0%,6.5
Burkina Faso,0,2,0%,7.5
Bulgarien,0,2,0%,9.5
Åland,0,2,0%,13.5
Kina,0,2,0%,13.5
Kazakstan,0,2,0%,22.5
Egypten,0,2,0%,32
Taiwan,0,2,0%,36.5
Argentina,0,2,0%,40.5
Chile,0,2,0%,53
Litauen,0,1,0%,1
Uzbekistan,0,1,0%,2
Hongkong,0,1,0%,3
Malta,0,1,0%,4
Costa Rica,0,1,0%,5
Isle of Man,0,1,0%,5
Tanzania,0,1,0%,6
Oman,0,1,0%,7
Irland,0,1,0%,8
Pakistan,0,1,0%,8
Ghana,0,1,0%,9
Georgien,0,1,0%,10
Israel,0,1,0%,10
Libanon,0,1,0%,10
Slovakien,0,1,0%,10
Bangladesh,0,1,0%,11
Island,0,1,0%,11
Sydkorea,0,1,0%,11
El Salvador,0,1,0%,19
Azerbajdzjan,0,1,0%,28
Venezuela,0,1,0%,33
Malaysia,0,1,0%,35
