Populäraste sidorna,Klick,Exponeringar,CTR,position
https://hauntedsweden.se/,25,585,4.27%,9.83
https://www.hauntedsweden.se/places/malilla-sanatorium,8,120,6.67%,11.16
https://www.hauntedsweden.se/places/lacko-slott,6,277,2.17%,10.5
https://hauntedsweden.se/places/kullaberg,6,111,5.41%,5.86
https://www.hauntedsweden.se/places/hemsokt-museum,5,845,0.59%,10.01
https://www.hauntedsweden.se/map,4,99,4.04%,14.26
https://www.hauntedsweden.se/places/bohus-fastning,3,153,1.96%,14.12
https://hauntedsweden.se/spokjakt,2,69,2.9%,8.88
https://www.hauntedsweden.se/places/brahehus-slottsruin,2,35,5.71%,7.6
https://hauntedsweden.se/places/george-seatons-jaktslott,2,13,15.38%,5.46
https://www.hauntedsweden.se/places/borgvattnets-prastgard,1,133,0.75%,13.08
https://www.hauntedsweden.se/places/horle-herrgard,1,100,1%,8.37
https://hauntedsweden.se/places/borgvattnets-vandrarhem,1,84,1.19%,13.44
https://www.hauntedsweden.se/places/kullaberg,1,35,2.86%,16.77
https://www.hauntedsweden.se/places/nasby-slott,1,16,6.25%,10.31
https://www.hauntedsweden.se/places/osterbybruks-herrgard,1,5,20%,8
https://www.hauntedsweden.se/places/solberga-prastgard,1,1,100%,13
https://www.hauntedsweden.se/places/grafenas-slottsruin,0,73,0%,23.63
https://hauntedsweden.se/places/grafenas-slottsruin,0,66,0%,12.42
https://www.hauntedsweden.se/places/backaskogs-kloster,0,41,0%,7.07
https://www.hauntedsweden.se/places/carlstens-fastning,0,36,0%,9.67
https://hauntedsweden.se/places/bogesunds-slott,0,27,0%,9.67
https://www.hauntedsweden.se/places/den-stora-smallen,0,21,0%,9.62
https://www.hauntedsweden.se/places/borgvattnets-vandrarhem,0,20,0%,12.7
https://www.hauntedsweden.se/places/frammegarden,0,18,0%,6.56
https://www.hauntedsweden.se/places/hotel-eggers,0,15,0%,5.93
https://www.hauntedsweden.se/places/vadstena-klosterhotell,0,9,0%,4.56
https://www.hauntedsweden.se/places/borringekloster-slott,0,8,0%,6.12
https://www.hauntedsweden.se/places/nyckelhalshuset,0,5,0%,4
https://www.hauntedsweden.se/places/gathenhielmska-huset,0,5,0%,8.4
https://www.hauntedsweden.se/places/norrsvedje-gastgiveri,0,5,0%,9.8
https://www.hauntedsweden.se/places/toftaholm-herrgard,0,4,0%,4
https://www.hauntedsweden.se/places/barnmordarkorset,0,4,0%,10.5
https://www.hauntedsweden.se/places/falkenbergs-borgruin,0,3,0%,3.67
https://hauntedsweden.se/?hl=sv,0,2,0%,1.5
https://www.hauntedsweden.se/places/blombacka-herrgard,0,2,0%,7.5
https://www.hauntedsweden.se/?hl=en,0,1,0%,1
https://www.hauntedsweden.se/places/tjuvholmen,0,1,0%,3
https://www.hauntedsweden.se/places/schillers-krog,0,1,0%,5
https://www.hauntedsweden.se/submit,0,1,0%,65
https://hauntedsweden.se/submit,0,1,0%,71
